OG	GCA_000634095__GCA_003210175	GCA_000634095__GCA_003213315	GCA_000634095__GCA_003278775	GCA_000634095__GCA_003280965	GCA_000634095__GCA_902521125	GCA_000634095__GCA_902532695	GCA_000634095__GCA_902539515	GCA_000634095__GCA_902543475	GCA_000634095__GCA_902580925	GCA_000634095__GCA_902595155	GCA_000634095__GCA_902596215	GCA_000634095__GCA_902611085	GCA_000634095__GCA_902614405	GCA_000634095__GCA_902614465	GCA_000634095__GCA_902616055	GCA_000634095__GCA_902621495	GCA_000634095__GCA_902624115	GCA_003210175__GCA_003213315	GCA_003210175__GCA_003278775	GCA_003210175__GCA_003280965	GCA_003210175__GCA_902521125	GCA_003210175__GCA_902532695	GCA_003210175__GCA_902539515	GCA_003210175__GCA_902543475	GCA_003210175__GCA_902580925	GCA_003210175__GCA_902595155	GCA_003210175__GCA_902596215	GCA_003210175__GCA_902611085	GCA_003210175__GCA_902614405	GCA_003210175__GCA_902614465	GCA_003210175__GCA_902616055	GCA_003210175__GCA_902621495	GCA_003210175__GCA_902624115	GCA_003213315__GCA_003278775	GCA_003213315__GCA_003280965	GCA_003213315__GCA_902521125	GCA_003213315__GCA_902532695	GCA_003213315__GCA_902539515	GCA_003213315__GCA_902543475	GCA_003213315__GCA_902580925	GCA_003213315__GCA_902595155	GCA_003213315__GCA_902596215	GCA_003213315__GCA_902611085	GCA_003213315__GCA_902614405	GCA_003213315__GCA_902614465	GCA_003213315__GCA_902616055	GCA_003213315__GCA_902621495	GCA_003213315__GCA_902624115	GCA_003278775__GCA_003280965	GCA_003278775__GCA_902521125	GCA_003278775__GCA_902532695	GCA_003278775__GCA_902539515	GCA_003278775__GCA_902543475	GCA_003278775__GCA_902580925	GCA_003278775__GCA_902595155	GCA_003278775__GCA_902596215	GCA_003278775__GCA_902611085	GCA_003278775__GCA_902614405	GCA_003278775__GCA_902614465	GCA_003278775__GCA_902616055	GCA_003278775__GCA_902621495	GCA_003278775__GCA_902624115	GCA_003280965__GCA_902521125	GCA_003280965__GCA_902532695	GCA_003280965__GCA_902539515	GCA_003280965__GCA_902543475	GCA_003280965__GCA_902580925	GCA_003280965__GCA_902595155	GCA_003280965__GCA_902596215	GCA_003280965__GCA_902611085	GCA_003280965__GCA_902614405	GCA_003280965__GCA_902614465	GCA_003280965__GCA_902616055	GCA_003280965__GCA_902621495	GCA_003280965__GCA_902624115	GCA_902521125__GCA_902532695	GCA_902521125__GCA_902539515	GCA_902521125__GCA_902543475	GCA_902521125__GCA_902580925	GCA_902521125__GCA_902595155	GCA_902521125__GCA_902596215	GCA_902521125__GCA_902611085	GCA_902521125__GCA_902614405	GCA_902521125__GCA_902614465	GCA_902521125__GCA_902616055	GCA_902521125__GCA_902621495	GCA_902521125__GCA_902624115	GCA_902532695__GCA_902539515	GCA_902532695__GCA_902543475	GCA_902532695__GCA_902580925	GCA_902532695__GCA_902595155	GCA_902532695__GCA_902596215	GCA_902532695__GCA_902611085	GCA_902532695__GCA_902614405	GCA_902532695__GCA_902614465	GCA_902532695__GCA_902616055	GCA_902532695__GCA_902621495	GCA_902532695__GCA_902624115	GCA_902539515__GCA_902543475	GCA_902539515__GCA_902580925	GCA_902539515__GCA_902595155	GCA_902539515__GCA_902596215	GCA_902539515__GCA_902611085	GCA_902539515__GCA_902614405	GCA_902539515__GCA_902614465	GCA_902539515__GCA_902616055	GCA_902539515__GCA_902621495	GCA_902539515__GCA_902624115	GCA_902543475__GCA_902580925	GCA_902543475__GCA_902595155	GCA_902543475__GCA_902596215	GCA_902543475__GCA_902611085	GCA_902543475__GCA_902614405	GCA_902543475__GCA_902614465	GCA_902543475__GCA_902616055	GCA_902543475__GCA_902621495	GCA_902543475__GCA_902624115	GCA_902580925__GCA_902595155	GCA_902580925__GCA_902596215	GCA_902580925__GCA_902611085	GCA_902580925__GCA_902614405	GCA_902580925__GCA_902614465	GCA_902580925__GCA_902616055	GCA_902580925__GCA_902621495	GCA_902580925__GCA_902624115	GCA_902595155__GCA_902596215	GCA_902595155__GCA_902611085	GCA_902595155__GCA_902614405	GCA_902595155__GCA_902614465	GCA_902595155__GCA_902616055	GCA_902595155__GCA_902621495	GCA_902595155__GCA_902624115	GCA_902596215__GCA_902611085	GCA_902596215__GCA_902614405	GCA_902596215__GCA_902614465	GCA_902596215__GCA_902616055	GCA_902596215__GCA_902621495	GCA_902596215__GCA_902624115	GCA_902611085__GCA_902614405	GCA_902611085__GCA_902614465	GCA_902611085__GCA_902616055	GCA_902611085__GCA_902621495	GCA_902611085__GCA_902624115	GCA_902614405__GCA_902614465	GCA_902614405__GCA_902616055	GCA_902614405__GCA_902621495	GCA_902614405__GCA_902624115	GCA_902614465__GCA_902616055	GCA_902614465__GCA_902621495	GCA_902614465__GCA_902624115	GCA_902616055__GCA_902621495	GCA_902616055__GCA_902624115	GCA_902621495__GCA_902624115
OG0000058	0.0838	-	0.0862	0.0095	0.0237	-	0.0338	0.0237	-	0.0838	0.0237	0.0237	-	0.0237	0.0285	0.0627	0.0838	-	0.0046	0.0738	0.0656	-	0.0768	0.0656	-	0	0.0656	0.0656	-	0.0656	0.0705	0.0545	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0762	0.0704	-	0.0817	0.0704	-	0.0046	0.0704	0.0704	-	0.0704	0.0753	0.0592	0.0046	0.0142	-	0.0242	0.0142	-	0.0738	0.0142	0.0142	-	0.0142	0.0190	0.0531	0.0738	-	0.0094	0	-	0.0656	0	0	-	0	0.0046	0.0477	0.0656	-	-	-	-	-	-	-	-	-	-	-	0.0094	-	0.0768	0.0094	0.0094	-	0.0094	0.0141	0.0584	0.0768	-	0.0656	0	0	-	0	0.0046	0.0477	0.0656	-	-	-	-	-	-	-	-	0.0656	0.0656	-	0.0656	0.0705	0.0545	0	0	-	0	0.0046	0.0477	0.0656	-	0	0.0046	0.0477	0.0656	-	-	-	-	0.0046	0.0477	0.0656	0.0525	0.0705	0.0545
OG0000059	0	-	-	0.0149	0.0148	0	0.0148	0.0148	0	0	0.0148	-	0	0.0148	-	0.0596	-	-	-	0.0147	0.0147	0	0.0147	0.0147	0	0	0.0147	-	0	0.0147	-	0.0591	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0297	0.0149	0.0297	0.0297	0.0149	0.0147	0.0297	-	0.0149	0.0297	-	0.0749	-	0.0148	0	0	0.0148	0.0147	0	-	0.0148	0	-	0.0748	-	0.0148	0.0148	0	0	0.0148	-	0	0.0148	-	0.0596	-	0	0.0148	0.0147	0	-	0.0148	0	-	0.0748	-	0.0148	0.0147	0	-	0.0148	0	-	0.0748	-	0	0.0148	-	0	0.0148	-	0.0596	-	0.0147	-	0	0.0147	-	0.0591	-	-	0.0148	0	-	0.0748	-	-	-	-	-	-	0.0148	-	0.0596	-	-	0.0748	-	-	-	-
OG0000061	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0126	0.0126	0.0126	0.0126	-	0.0126	0.0126	0.0126	0	0.0126	-	0.0126	0.0126	0.0126	0.1079	0	0	0	0	-	0	0	0	0.0126	0	-	0	0	0	0.1076	0.0126	0	0	-	0	0	0	0.0126	0	-	0	0	0	0.1076	0.0126	0	-	0	0	0	0.0126	0	-	0	0	0	0.1074	0.0126	-	0	0	0	0.0126	0	-	0	0	0	0.1076	0.0126	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0126	0	-	0	0	0	0.1076	0.0126	0	0.0126	0	-	0	0	0	0.1076	0.0126	0.0126	0	-	0	0	0	0.1076	0.0126	0.0126	-	0.0126	0.0126	0.0126	0.1078	0	-	0	0	0	0.1076	0.0126	-	-	-	-	-	0	0	0.1076	0.0126	0	0.1076	0.0126	0.1076	0.0126	0.1079
OG0000065	0.0235	0	0	0	0	0.0228	-	-	0	0.0235	0	0	0	-	0	0.0467	0.0235	0.0235	0.0236	0.0235	0.0235	0.0471	-	-	0.0235	0	0.0235	0.0235	0.0235	-	0.0234	0.0725	0	0	0	0	0.0228	-	-	0	0.0235	0	0	0	-	0	0.0467	0.0235	0	0	0.0229	-	-	0	0.0236	0	0	0	-	0	0.0470	0.0236	0	0.0228	-	-	0	0.0235	0	0	0	-	0	0.0467	0.0235	0.0228	-	-	0	0.0235	0	0	0	-	0	0.0467	0.0235	-	-	0.0228	0.0471	0.0228	0.0228	0.0228	-	0.0227	0.0701	0.0471	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0235	0	0	0	-	0	0.0467	0.0235	0.0235	0.0235	0.0235	-	0.0234	0.0725	0	0	0	-	0	0.0467	0.0235	0	-	0	0.0467	0.0235	-	0	0.0467	0.0235	-	-	-	0.0465	0.0234	0.0725
OG0000074	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0272	0.0107	0.0273	-	-	0.0161	0.0161	0.0053	-	0.0161	0.0161	0.0161	0.0161	0.0054	0.0565	0	0.0383	0.0443	-	-	0.0107	0.0107	0.0216	-	0.0107	0.0107	0.0326	0.0107	0.0328	0.0747	0.0272	0.0383	-	-	0.0270	0.0270	0.0160	-	0.0270	0.0270	0.0269	0.0270	0.0161	0.0682	0.0107	-	-	0.0328	0.0328	0.0216	-	0.0328	0.0328	0.0107	0.0328	0.0329	0.0748	0.0273	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.0106	-	0	0	0.0215	0	0.0216	0.0624	0.0161	0.0106	-	0	0	0.0215	0	0.0216	0.0624	0.0161	-	0.0106	0.0106	0.0106	0.0106	0.0107	0.0504	0.0053	-	-	-	-	-	-	-	0	0.0215	0	0.0216	0.0624	0.0161	0.0215	0	0.0216	0.0624	0.0161	0.0215	0.0215	0.0621	0.0161	0.0216	0.0624	0.0161	0.0625	0.0054	0.0565
OG0000078	-	-	0	0	0	0.0191	0	0	0	-	0	0	-	0	0	0.0191	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0.0189	0	0	0	-	0	0	-	0	0	0.0189	0	0	0.0189	0	0	0	-	0	0	-	0	0	0.0189	0	0.0189	0	0	0	-	0	0	-	0	0	0.0189	0	0.0189	0.0189	0.0189	-	0.0189	0.0189	-	0.0189	0.0189	0.0374	0.0189	0	0	-	0	0	-	0	0	0.0189	0	0	-	0	0	-	0	0	0.0189	0	-	0	0	-	0	0	0.0189	0	-	-	-	-	-	-	-	0	-	0	0	0.0189	0	-	0	0	0.0189	0	-	-	-	-	0	0.0189	0	0.0189	0	0.0189
OG0000081	0.0221	-	0.0149	0.0151	-	0.0222	0	-	0.0226	0.0221	0	-	0	0.0074	0.0074	0.0222	0.0296	-	0.0222	0.0378	-	0.0146	0.0222	-	0.0456	0	0.0221	-	0.0221	0.0296	0.0298	0.0445	0.0072	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0305	-	0.0223	0.0149	-	0.0382	0.0222	0.0149	-	0.0149	0.0224	0.0225	0.0374	0.0296	-	0.0382	0.0151	-	0.0387	0.0378	0.0151	-	0.0151	0.0226	0.0228	0.0378	0.0454	-	-	-	-	-	-	-	-	-	-	-	-	0.0223	-	0.0455	0.0146	0.0222	-	0.0222	0.0298	0.0298	0.0446	0.0219	-	0.0226	0.0222	0	-	0	0.0074	0.0074	0.0223	0.0296	-	-	-	-	-	-	-	-	-	0.0456	0.0226	-	0.0226	0.0302	0.0303	0.0454	0.0534	0.0221	-	0.0221	0.0296	0.0298	0.0445	0.0072	-	0	0.0074	0.0074	0.0222	0.0296	-	-	-	-	-	0.0074	0.0074	0.0222	0.0296	0.0148	0.0296	0.0370	0.0298	0.0374	0.0521
OG0000083	0.0119	-	0.0118	0.0059	-	0.0208	0.0147	0.0117	0.0118	0.0119	0.0117	-	-	0.0117	0.0117	-	0.0119	-	0	0.0059	-	0.0089	0.0148	0.0118	0.0119	0	0.0118	-	-	0.0118	0.0118	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0059	-	0.0089	0.0147	0.0118	0.0119	0	0.0118	-	-	0.0118	0.0118	-	0	-	0.0148	0.0087	0.0058	0.0059	0.0059	0.0058	-	-	0.0058	0.0058	-	0.0059	-	-	-	-	-	-	-	-	-	-	-	-	0.0237	0.0207	0.0209	0.0089	0.0207	-	-	0.0207	0.0207	-	0.0089	0.0029	0.0147	0.0148	0.0029	-	-	0.0029	0.0029	-	0.0148	0.0118	0.0118	0	-	-	0	0	-	0.0118	0.0119	0.0118	-	-	0.0118	0.0118	-	0.0119	0.0118	-	-	0.0118	0.0118	-	0	-	-	0	0	-	0.0118	-	-	-	-	-	-	-	-	-	0	-	0.0118	-	0.0118	-
OG0000084	0.4681	0.3584	-	0.0162	0.3589	-	0.3666	0.3587	0.5907	0.3554	0.3584	-	0	0.3584	-	0.5425	0.3215	0.3875	-	0.5034	0.3880	-	0.3966	0.3878	0.3253	0.3970	0.3875	-	0.4681	0.3875	-	0.1070	0.4018	-	0.3657	0	-	0.0059	0	0.5067	0.0059	0	-	0.3584	0	-	0.4682	0.1811	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.3662	-	0.3739	0.3659	0.5987	0.3626	0.3657	-	0.0162	0.3657	-	0.5502	0.3486	-	0.0059	0	0.5073	0.0059	0	-	0.3589	0	-	0.4688	0.1813	-	-	-	-	-	-	-	-	-	-	-	0.0059	0.5171	0.0118	0.0059	-	0.3666	0.0059	-	0.4783	0.1879	0.5072	0.0059	0	-	0.3587	0	-	0.4687	0.1812	0.5024	0.5067	-	0.5907	0.5067	-	0.2112	0.4971	0.0059	-	0.3554	0.0059	-	0.4652	0.1881	-	0.3584	0	-	0.4682	0.1811	-	-	-	-	-	0.3584	-	0.5425	0.3215	-	0.4682	0.1811	-	-	0.4881
OG0000089	0	0.0076	0.0076	0	-	0	0.0152	-	0.0076	-	0.0076	0.0076	0	0.0557	0.0152	0.0310	0	0.0075	0.0076	0	-	0	0.0152	-	0.0076	-	0.0076	0.0075	0	0.0557	0.0152	0.0310	0	0.0152	0.0076	-	0.0076	0.0075	-	0.0151	-	0	0	0.0076	0.0477	0.0075	0.0230	0.0075	0.0076	-	0.0076	0.0230	-	0.0153	-	0.0152	0.0152	0.0076	0.0638	0.0230	0.0392	0.0076	-	0	0.0152	-	0.0076	-	0.0076	0.0076	0	0.0557	0.0152	0.0310	0	-	-	-	-	-	-	-	-	-	-	-	-	0.0152	-	0.0076	-	0.0076	0.0076	0	0.0557	0.0152	0.0310	0	-	0.0228	-	0.0075	0.0075	0.0152	0.0553	0.0152	0.0309	0.0152	-	-	-	-	-	-	-	-	-	-	0.0152	0.0151	0.0076	0.0594	0.0229	0.0388	0.0076	-	-	-	-	-	-	-	0	0.0076	0.0478	0.0075	0.0230	0.0076	0.0076	0.0477	0.0075	0.0230	0.0075	0.0558	0.0152	0.0311	0	0.0554	0.0715	0.0557	0.0231	0.0152	0.0310
