OG	GCA_000634175__GCA_000634215	GCA_000634175__GCA_000634255	GCA_000634175__GCA_000634275	GCA_000634175__GCA_000634335	GCA_000634175__GCA_000634375	GCA_000634175__GCA_000634795	GCA_000634175__GCA_000635055	GCA_000634175__GCA_000635095	GCA_000634175__GCA_000635215	GCA_000634175__GCA_000635395	GCA_000634175__GCA_000635755	GCA_000634175__GCA_003280805	GCA_000634175__GCA_003280815	GCA_000634175__GCA_902533015	GCA_000634175__GCA_902537995	GCA_000634175__GCA_902551645	GCA_000634175__GCA_902555385	GCA_000634175__GCA_902618405	GCA_000634175__GCA_902619715	GCA_000634175__GCA_902623015	GCA_000634215__GCA_000634255	GCA_000634215__GCA_000634275	GCA_000634215__GCA_000634335	GCA_000634215__GCA_000634375	GCA_000634215__GCA_000634795	GCA_000634215__GCA_000635055	GCA_000634215__GCA_000635095	GCA_000634215__GCA_000635215	GCA_000634215__GCA_000635395	GCA_000634215__GCA_000635755	GCA_000634215__GCA_003280805	GCA_000634215__GCA_003280815	GCA_000634215__GCA_902533015	GCA_000634215__GCA_902537995	GCA_000634215__GCA_902551645	GCA_000634215__GCA_902555385	GCA_000634215__GCA_902618405	GCA_000634215__GCA_902619715	GCA_000634215__GCA_902623015	GCA_000634255__GCA_000634275	GCA_000634255__GCA_000634335	GCA_000634255__GCA_000634375	GCA_000634255__GCA_000634795	GCA_000634255__GCA_000635055	GCA_000634255__GCA_000635095	GCA_000634255__GCA_000635215	GCA_000634255__GCA_000635395	GCA_000634255__GCA_000635755	GCA_000634255__GCA_003280805	GCA_000634255__GCA_003280815	GCA_000634255__GCA_902533015	GCA_000634255__GCA_902537995	GCA_000634255__GCA_902551645	GCA_000634255__GCA_902555385	GCA_000634255__GCA_902618405	GCA_000634255__GCA_902619715	GCA_000634255__GCA_902623015	GCA_000634275__GCA_000634335	GCA_000634275__GCA_000634375	GCA_000634275__GCA_000634795	GCA_000634275__GCA_000635055	GCA_000634275__GCA_000635095	GCA_000634275__GCA_000635215	GCA_000634275__GCA_000635395	GCA_000634275__GCA_000635755	GCA_000634275__GCA_003280805	GCA_000634275__GCA_003280815	GCA_000634275__GCA_902533015	GCA_000634275__GCA_902537995	GCA_000634275__GCA_902551645	GCA_000634275__GCA_902555385	GCA_000634275__GCA_902618405	GCA_000634275__GCA_902619715	GCA_000634275__GCA_902623015	GCA_000634335__GCA_000634375	GCA_000634335__GCA_000634795	GCA_000634335__GCA_000635055	GCA_000634335__GCA_000635095	GCA_000634335__GCA_000635215	GCA_000634335__GCA_000635395	GCA_000634335__GCA_000635755	GCA_000634335__GCA_003280805	GCA_000634335__GCA_003280815	GCA_000634335__GCA_902533015	GCA_000634335__GCA_902537995	GCA_000634335__GCA_902551645	GCA_000634335__GCA_902555385	GCA_000634335__GCA_902618405	GCA_000634335__GCA_902619715	GCA_000634335__GCA_902623015	GCA_000634375__GCA_000634795	GCA_000634375__GCA_000635055	GCA_000634375__GCA_000635095	GCA_000634375__GCA_000635215	GCA_000634375__GCA_000635395	GCA_000634375__GCA_000635755	GCA_000634375__GCA_003280805	GCA_000634375__GCA_003280815	GCA_000634375__GCA_902533015	GCA_000634375__GCA_902537995	GCA_000634375__GCA_902551645	GCA_000634375__GCA_902555385	GCA_000634375__GCA_902618405	GCA_000634375__GCA_902619715	GCA_000634375__GCA_902623015	GCA_000634795__GCA_000635055	GCA_000634795__GCA_000635095	GCA_000634795__GCA_000635215	GCA_000634795__GCA_000635395	GCA_000634795__GCA_000635755	GCA_000634795__GCA_003280805	GCA_000634795__GCA_003280815	GCA_000634795__GCA_902533015	GCA_000634795__GCA_902537995	GCA_000634795__GCA_902551645	GCA_000634795__GCA_902555385	GCA_000634795__GCA_902618405	GCA_000634795__GCA_902619715	GCA_000634795__GCA_902623015	GCA_000635055__GCA_000635095	GCA_000635055__GCA_000635215	GCA_000635055__GCA_000635395	GCA_000635055__GCA_000635755	GCA_000635055__GCA_003280805	GCA_000635055__GCA_003280815	GCA_000635055__GCA_902533015	GCA_000635055__GCA_902537995	GCA_000635055__GCA_902551645	GCA_000635055__GCA_902555385	GCA_000635055__GCA_902618405	GCA_000635055__GCA_902619715	GCA_000635055__GCA_902623015	GCA_000635095__GCA_000635215	GCA_000635095__GCA_000635395	GCA_000635095__GCA_000635755	GCA_000635095__GCA_003280805	GCA_000635095__GCA_003280815	GCA_000635095__GCA_902533015	GCA_000635095__GCA_902537995	GCA_000635095__GCA_902551645	GCA_000635095__GCA_902555385	GCA_000635095__GCA_902618405	GCA_000635095__GCA_902619715	GCA_000635095__GCA_902623015	GCA_000635215__GCA_000635395	GCA_000635215__GCA_000635755	GCA_000635215__GCA_003280805	GCA_000635215__GCA_003280815	GCA_000635215__GCA_902533015	GCA_000635215__GCA_902537995	GCA_000635215__GCA_902551645	GCA_000635215__GCA_902555385	GCA_000635215__GCA_902618405	GCA_000635215__GCA_902619715	GCA_000635215__GCA_902623015	GCA_000635395__GCA_000635755	GCA_000635395__GCA_003280805	GCA_000635395__GCA_003280815	GCA_000635395__GCA_902533015	GCA_000635395__GCA_902537995	GCA_000635395__GCA_902551645	GCA_000635395__GCA_902555385	GCA_000635395__GCA_902618405	GCA_000635395__GCA_902619715	GCA_000635395__GCA_902623015	GCA_000635755__GCA_003280805	GCA_000635755__GCA_003280815	GCA_000635755__GCA_902533015	GCA_000635755__GCA_902537995	GCA_000635755__GCA_902551645	GCA_000635755__GCA_902555385	GCA_000635755__GCA_902618405	GCA_000635755__GCA_902619715	GCA_000635755__GCA_902623015	GCA_003280805__GCA_003280815	GCA_003280805__GCA_902533015	GCA_003280805__GCA_902537995	GCA_003280805__GCA_902551645	GCA_003280805__GCA_902555385	GCA_003280805__GCA_902618405	GCA_003280805__GCA_902619715	GCA_003280805__GCA_902623015	GCA_003280815__GCA_902533015	GCA_003280815__GCA_902537995	GCA_003280815__GCA_902551645	GCA_003280815__GCA_902555385	GCA_003280815__GCA_902618405	GCA_003280815__GCA_902619715	GCA_003280815__GCA_902623015	GCA_902533015__GCA_902537995	GCA_902533015__GCA_902551645	GCA_902533015__GCA_902555385	GCA_902533015__GCA_902618405	GCA_902533015__GCA_902619715	GCA_902533015__GCA_902623015	GCA_902537995__GCA_902551645	GCA_902537995__GCA_902555385	GCA_902537995__GCA_902618405	GCA_902537995__GCA_902619715	GCA_902537995__GCA_902623015	GCA_902551645__GCA_902555385	GCA_902551645__GCA_902618405	GCA_902551645__GCA_902619715	GCA_902551645__GCA_902623015	GCA_902555385__GCA_902618405	GCA_902555385__GCA_902619715	GCA_902555385__GCA_902623015	GCA_902618405__GCA_902619715	GCA_902618405__GCA_902623015	GCA_902619715__GCA_902623015
OG0000065	0.0204	0	0	0	0.0203	-	0	0	0.0206	0	0	0	0	0	-	-	-	0	0	0	0.0203	0.0203	0.0203	0.0410	-	0.0203	0.0202	0.0417	0.0203	0.0203	0.0203	0.0203	0.0203	-	-	-	0.0203	0.0203	0.0203	0	0	0.0202	-	0	0	0.0205	0	0	0	0	0	-	-	-	0	0	0	0	0.0202	-	0	0	0.0205	0	0	0	0	0	-	-	-	0	0	0	0.0202	-	0	0	0.0205	0	0	0	0	0	-	-	-	0	0	0	-	0.0202	0.0201	0.0415	0.0202	0.0202	0.0202	0.0202	0.0202	-	-	-	0.0202	0.0202	0.0202	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0.0205	0	0	0	0	0	-	-	-	0	0	0	0.0204	0	0	0	0	0	-	-	-	0	0	0	0.0205	0.0205	0.0205	0.0205	0.0205	-	-	-	0.0205	0.0205	0.0205	0	0	0	0	-	-	-	0	0	0	0	0	0	-	-	-	0	0	0	0	0	-	-	-	0	0	0	0	-	-	-	0	0	0	-	-	-	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
OG0000068	0	0	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	0.0187	-	-	0	0	0	0	0	0	-	0	0	0	-	-	0.0187	0.0187	0.0187	0.0187	0.0187	0.0187	-	0.0187	0.0187	0.0187	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	-	0	0	0	0	0	0	0	-	0	0	0	0	0	0	-	0	0	0	0	0	-	0	0	0	0	-	0	0	0	-	0	0	0	-	-	-	0	0	0
OG0000077	0.4132	0	0	0	0.4132	0	-	0	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0.4132	0.4132	0.4132	0	0.4132	-	0.4132	0.4132	0.4132	0.4132	0.4132	0.4132	0.3461	0.4132	0.4132	0	-	0	0.4132	0	0	0.4132	0	-	0	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0	0.4132	0	-	0	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0.4132	0	-	0	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0.4132	-	0.4132	0.4132	0.4132	0.4132	0.4132	0.4132	0.3461	0.4132	0.4132	0	-	0	0.4132	-	0	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0	0	0.1095	0	0	0.4132	-	0.4132	0	0	0.1095	0	0	0.4132	-	0.4132	0	0.1095	0	0	0.4132	-	0.4132	0	0.1095	0.1095	0.3461	-	0.3461	0.1095	0	0.4132	-	0.4132	0	0.4132	-	0.4132	0	-	0	0.4132	-	-	0.4132
OG0000081	0.6680	0.0071	0	0	0.6353	0	-	0.0072	0	0	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	0.6873	0.6680	0.6680	0.0081	0.6680	-	0.6528	0.6680	0.6680	0.6862	0.6692	0.7002	3.6192	0.6680	0.6680	0.0081	-	0.0162	0.6870	0.0071	0.0071	0.6533	0.0071	-	0.0144	0.0071	0.0071	0.0142	0.0071	0.0143	3.6735	0.0071	0.0071	0.6533	-	0.6708	0.0142	0	0.6353	0	-	0.0072	0	0	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	0.6353	0	-	0.0072	0	0	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	0.6353	-	0.6209	0.6353	0.6353	0.6523	0.6364	0.6648	3.6239	0.6353	0.6353	0	-	0.0080	0.6530	-	0.0072	0	0	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0072	0.0072	0.0144	0.0072	0.0145	3.6636	0.0072	0.0072	0.6209	-	0.6376	0.0144	0	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	0.0071	0	0.0072	3.6695	0	0	0.6353	-	0.6523	0.0071	0.0071	0.0143	3.6738	0.0071	0.0071	0.6523	-	0.6698	0.0142	0.0072	3.6685	0	0	0.6364	-	0.6535	0.0071	3.6679	0.0072	0.0072	0.6648	-	0.6828	0.0143	3.6695	3.6695	3.6239	-	3.6288	3.6735	0	0.6353	-	0.6523	0.0071	0.6353	-	0.6523	0.0071	-	0.0080	0.6530	-	-	0.6706
OG0000083	0.0066	0	0	0.0134	0.0200	0	0	0.0066	0	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0	0.0066	0.0066	0.0066	0.0132	0.0066	0.0066	0	0.0066	0	0	0	0	0.0067	-	-	0	0	0	0.0066	0	0.0134	0.0200	0	0	0.0066	0	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0	0.0134	0.0200	0	0	0.0066	0	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0	0.0200	0.0134	0.0134	0.0066	0.0133	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0.0134	0.0200	0.0200	0.0132	0.0200	0.0132	0.0132	0.0132	0.0132	0.0201	-	-	0.0132	0.0132	0.0132	0.0200	0	0.0066	0	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0	0.0066	0	0.0066	0.0066	0.0066	0.0066	0.0135	-	-	0.0066	0.0066	0.0066	0	0.0066	0	0	0	0	0.0067	-	-	0	0	0	0.0066	0.0066	0.0066	0.0066	0.0066	0.0134	-	-	0.0066	0.0066	0.0066	0	0	0	0	0.0067	-	-	0	0	0	0.0066	0	0	0.0067	-	-	0	0	0	0.0066	0	0.0067	-	-	0	0	0	0.0066	0.0067	-	-	0	0	0	0.0066	-	-	0.0067	0.0067	0.0067	0.0135	-	-	-	-	-	-	-	-	-	0	0	0.0066	0	0.0066	0.0066
OG0000089	0.2421	0	0.0061	0	0.2534	0.0061	-	0.0062	0.0061	0	0	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0.2421	0.2506	0.2421	0.0069	0.2506	-	0.2539	0.2506	0.2421	0.2421	0.2421	0.2421	0.2256	0.2506	0.2506	0	-	0	0.2421	0.0061	0	0.2534	0.0061	-	0.0062	0.0061	0	0	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0.0061	0.2622	0	-	0.0124	0	0.0061	0.0061	0.0061	0.0061	0.2214	0.0123	0	0.2504	-	0.2504	0.0061	0.2534	0.0061	-	0.0062	0.0061	0	0	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0.2622	-	0.2656	0.2622	0.2534	0.2534	0.2534	0.2534	0.2164	0.2620	0.2622	0.0069	-	0.0069	0.2534	-	0.0124	0	0.0061	0.0061	0.0061	0.0061	0.2214	0.0123	0	0.2504	-	0.2504	0.0061	-	-	-	-	-	-	-	-	-	-	-	-	-	0.0124	0.0062	0.0062	0.0062	0.0062	0.2243	0.0124	0.0124	0.2536	-	0.2536	0.0062	0.0061	0.0061	0.0061	0.0061	0.2214	0.0123	0	0.2504	-	0.2504	0.0061	0	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0.2132	0.0062	0.0061	0.2418	-	0.2418	0	0.2213	0.2214	0.2253	-	0.2253	0.2132	0.0123	0.2503	-	0.2503	0.0062	0.2504	-	0.2504	0.0061	-	0	0.2418	-	-	0.2418
OG0000090	0	0	0	0	0.0166	0	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0	0	0	0.0166	0	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0	0	0.0166	0	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0	0.0166	0	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0.0166	0	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0.0166	0.0166	0.0166	0.0166	0.0331	0.0340	0.0166	0.0340	0.0166	0.0166	0.0166	-	0.0166	-	0.0337	0	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0.0163	0.0168	0	0.0168	0	0	0	-	0	-	0.0166	0.0334	0.0163	0.0334	0.0163	0.0163	0.0163	-	0.0163	-	0.0331	0.0168	0	0.0168	0.0168	0.0168	-	0.0168	-	0.0341	0.0168	0	0	0	-	0	-	0.0166	0.0168	0.0168	0.0168	-	0.0168	-	0.0341	0	0	-	0	-	0.0166	0	-	0	-	0.0166	-	0	-	0.0166	-	-	-	-	0.0166	-
OG0000094	0.0270	0	0	0	0.0282	0	0	0.2618	-	0.0282	0	0	0	0	0.0282	0	0	0	-	0	0.0270	0.0270	0.0270	0.0560	0.0270	0.0273	0.2554	-	0.0561	0.0270	0.0270	0.0270	0.0270	0.0561	0.0270	0.0270	0.0270	-	0.0270	0	0	0.0282	0	0	0.2618	-	0.0282	0	0	0	0	0.0282	0	0	0	-	0	0	0.0282	0	0	0.2618	-	0.0282	0	0	0	0	0.0282	0	0	0	-	0	0.0282	0	0	0.2618	-	0.0282	0	0	0	0	0.0282	0	0	0	-	0	0.0282	0.0284	0.3060	-	0.0288	0.0282	0.0282	0.0282	0.0282	0.0288	0.0282	0.0282	0.0282	-	0.0282	0	0.2618	-	0.0282	0	0	0	0	0.0282	0	0	0	-	0	0.2639	-	0.0285	0	0	0	0	0.0285	0	0	0	-	0	-	0.3011	0.2618	0.2618	0.2618	0.2618	0.3011	0.2618	0.2618	0.2618	-	0.2618	-	-	-	-	-	-	-	-	-	-	-	0.0282	0.0282	0.0282	0.0282	0	0.0282	0.0282	0.0282	-	0.0282	0	0	0	0.0282	0	0	0	-	0	0	0	0.0282	0	0	0	-	0	0	0.0282	0	0	0	-	0	0.0282	0	0	0	-	0	0.0282	0.0282	0.0282	-	0.0282	0	0	-	0	0	-	0	-	0	-
OG0000095	0.0060	0	0	0.0060	0.0060	0.0061	0	0.0184	0	0	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0060	0.0060	0.0120	0.0120	0.0121	0.0060	0.0244	0.0060	0.0060	0.0060	0.0184	0.0121	0.0060	-	-	0.0060	0.0184	0.0060	0.0119	0	0.0060	0.0060	0.0061	0	0.0184	0	0	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0060	0.0060	0.0061	0	0.0184	0	0	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0120	0.0121	0.0060	0.0245	0.0060	0.0060	0.0060	0.0184	0.0121	0.0060	-	-	0.0060	0.0184	0.0060	0.0120	0.0121	0.0060	0.0245	0.0060	0.0060	0.0060	0.0184	0.0121	0.0060	-	-	0.0060	0.0184	0.0060	0.0120	0.0061	0.0247	0.0061	0.0061	0.0061	0.0185	0.0122	0.0061	-	-	0.0061	0.0185	0.0060	0.0121	0.0184	0	0	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0184	0.0184	0.0184	0.0313	0.0247	0.0184	-	-	0.0184	0.0313	0.0183	0.0244	0	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0123	0.0061	0	-	-	0	0.0123	0	0.0060	0.0186	0.0123	-	-	0.0123	0	0.0122	0.0184	0.0061	-	-	0.0061	0.0186	0.0061	0.0121	-	-	0	0.0123	0	0.0060	-	-	-	-	-	-	-	-	-	0.0123	0	0.0060	0.0122	0.0184	0.0060
OG0000098	3.6904	3.6898	3.6892	3.6879	3.6888	3.6898	3.6830	3.7648	-	3.6893	-	3.6856	-	3.6893	3.6893	3.6892	3.6893	-	3.6893	3.6898	0.0374	0.0374	0.0375	0.0375	0.0374	0.0455	2.5967	-	0.0297	-	0.0532	-	0.0297	0.0297	0.0374	0.0297	-	0.0297	0.0374	0	0.0148	0.0298	0	0.0074	2.7277	-	0.0073	-	0.0300	-	0.0073	0.0073	0	0.0073	-	0.0073	0	0.0148	0.0299	0	0.0074	2.7576	-	0.0073	-	0.0300	-	0.0073	0.0073	0	0.0073	-	0.0073	0	0.0299	0.0148	0.0225	2.4342	-	0.0074	-	0.0301	-	0.0074	0.0074	0.0148	0.0074	-	0.0074	0.0148	0.0298	0.0379	2.5255	-	0.0223	-	0.0455	-	0.0223	0.0223	0.0299	0.0223	-	0.0223	0.0298	0.0074	2.7277	-	0.0073	-	0.0300	-	0.0073	0.0073	0	0.0073	-	0.0073	0	2.5679	-	0.0149	-	0.0381	-	0.0149	0.0149	0.0074	0.0149	-	0.0149	0.0074	-	2.5146	-	2.7559	-	2.5146	2.5146	2.7576	2.5146	-	2.5146	2.7277	-	-	-	-	-	-	-	-	-	-	-	-	0.0224	-	0	0	0.0073	0	-	0	0.0073	-	-	-	-	-	-	-	-	-	-	0.0224	0.0224	0.0300	0.0224	-	0.0224	0.0300	-	-	-	-	-	-	-	0	0.0073	0	-	0	0.0073	0.0073	0	-	0	0.0073	0.0073	-	0.0073	0	-	0	0.0073	-	-	0.0073
