genome	main_cluster	gnm_id	completeness	contamination	heterogeneity
GCA_000635375.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635375.1_De_novo_assembly_of_single-cell_genomes_genomic	87.76	1.00	62.50
GCA_000634715.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634715.1_De_novo_assembly_of_single-cell_genomes_genomic	86.59	1.09	25.00
GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635555.1_De_novo_assembly_of_single-cell_genomes_genomic	90.76	0.95	50.00
GCA_000635035.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635035.1_De_novo_assembly_of_single-cell_genomes_genomic	78.76	0.82	33.33
GCA_902619985.1_AG-920-J16_genomic	0	GCA_902619985.1_AG-920-J16_genomic	86.96	0.00	0.00
GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634935.1_De_novo_assembly_of_single-cell_genomes_genomic	71.42	0.66	50.00
GCA_000635835.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635835.1_De_novo_assembly_of_single-cell_genomes_genomic	93.57	1.09	75.00
GCA_000634235.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634235.1_De_novo_assembly_of_single-cell_genomes_genomic	85.60	0.86	50.00
GCA_000635775.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635775.1_De_novo_assembly_of_single-cell_genomes_genomic	75.33	1.04	80.00
GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635635.1_De_novo_assembly_of_single-cell_genomes_genomic	63.38	0.69	75.00
GCA_000635275.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635275.1_De_novo_assembly_of_single-cell_genomes_genomic	77.63	0.54	50.00
GCA_000635255.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635255.1_De_novo_assembly_of_single-cell_genomes_genomic	87.68	0.68	66.67
GCA_000634755.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634755.1_De_novo_assembly_of_single-cell_genomes_genomic	72.42	1.18	60.00
GCA_902612425.1_AG-891-D19_genomic	0	GCA_902612425.1_AG-891-D19_genomic	50.00	0.00	0.00
GCA_000635295.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635295.1_De_novo_assembly_of_single-cell_genomes_genomic	69.31	0.41	0.00
GCA_902595615.1_AG-915-O02_genomic	0	GCA_902595615.1_AG-915-O02_genomic	93.39	0.27	0.00
GCA_000635495.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635495.1_De_novo_assembly_of_single-cell_genomes_genomic	96.92	0.27	0.00
GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634855.1_De_novo_assembly_of_single-cell_genomes_genomic	62.77	1.27	50.00
GCA_000634555.2_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634555.2_De_novo_assembly_of_single-cell_genomes_genomic	70.99	1.68	50.00
GCA_000634695.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634695.1_De_novo_assembly_of_single-cell_genomes_genomic	70.55	1.59	50.00
GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635615.1_De_novo_assembly_of_single-cell_genomes_genomic	83.79	1.31	28.57
GCA_000635695.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635695.1_De_novo_assembly_of_single-cell_genomes_genomic	79.98	1.49	0.00
GCA_000634775.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634775.1_De_novo_assembly_of_single-cell_genomes_genomic	81.11	0.63	66.67
GCA_003280775.1_ASM328077v1_genomic	0	GCA_003280775.1_ASM328077v1_genomic	85.24	0.14	100.00
GCA_000633975.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000633975.1_De_novo_assembly_of_single-cell_genomes_genomic	65.72	0.77	50.00
GCA_000635415.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635415.1_De_novo_assembly_of_single-cell_genomes_genomic	88.00	1.18	33.33
GCA_000635235.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635235.1_De_novo_assembly_of_single-cell_genomes_genomic	88.63	0.54	100.00
GCA_003280565.1_ASM328056v1_genomic	0	GCA_003280565.1_ASM328056v1_genomic	93.10	0.27	0.00
GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634895.1_De_novo_assembly_of_single-cell_genomes_genomic	65.07	0.33	100.00
GCA_000635735.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635735.1_De_novo_assembly_of_single-cell_genomes_genomic	85.01	1.36	33.33
GCA_000634015.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634015.1_De_novo_assembly_of_single-cell_genomes_genomic	72.13	0.54	50.00
GCA_000635175.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635175.1_De_novo_assembly_of_single-cell_genomes_genomic	75.32	0.14	100.00
GCA_000635475.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635475.1_De_novo_assembly_of_single-cell_genomes_genomic	87.14	0.54	0.00
GCA_000635795.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635795.1_De_novo_assembly_of_single-cell_genomes_genomic	65.53	0.14	0.00
GCA_000635155.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000635155.1_De_novo_assembly_of_single-cell_genomes_genomic	87.36	1.04	33.33
GCA_000634475.1_De_novo_assembly_of_single-cell_genomes_genomic	0	GCA_000634475.1_De_novo_assembly_of_single-cell_genomes_genomic	83.79	1.45	37.50
